input,solovay mean,solovay stddev,miller mean, miller stddev,AKS mean, AKS stddev
3,23044.02,205626.00724331517,2626.37,6701.868704655775,3260868.0,NaN
5,2705.37,310.1011778517625,2928.85,1185.1614506645979,53393.0,NaN
5,2705.37,310.1011778517625,2928.85,1185.1614506645979,53393.0,NaN
5,2705.37,310.1011778517625,2928.85,1185.1614506645979,53393.0,NaN
5,2705.37,310.1011778517625,2928.85,1185.1614506645979,53393.0,NaN
7,2859.92,1178.5016225459485,2130.88,1049.5491603541016,37594.0,NaN
7,2859.92,1178.5016225459485,2130.88,1049.5491603541016,37594.0,NaN
7,2859.92,1178.5016225459485,2130.88,1049.5491603541016,37594.0,NaN
9,2482.25,1820.7379255220515,2506.62,354.1195021714871,27771.0,NaN
9,2482.25,1820.7379255220515,2506.62,354.1195021714871,27771.0,NaN
11,3206.63,1385.2138343113947,2128.05,934.0770454131056,40659.0,NaN
11,3206.63,1385.2138343113947,2128.05,934.0770454131056,40659.0,NaN
13,3216.61,1340.6621754140228,3044.74,1936.6191024253549,51023.0,NaN
15,2232.14,1566.23914876085,2432.25,1498.1509908597804,47950.0,NaN
17,3403.91,1684.1012175668368,3775.96,1932.6200822257392,68197.0,NaN
19,3748.62,1884.506600378117,2281.73,1398.5332710386333,63426.0,NaN
21,2785.69,1972.2290403951001,2760.99,1354.2978239141444,44317.0,NaN
23,3560.46,1063.9337567667826,2210.18,1042.1520990602846,110225.0,NaN
25,3991.27,2297.6323863771804,2808.5,1049.86547959847,28049.0,NaN
29,5322.02,1320.259287206322,2908.89,1801.002419501569,117907.0,NaN
33,3762.35,1842.0825246925774,3186.13,477.38899825673155,84137.0,NaN
35,3427.17,1925.3070491312142,2576.44,1471.8228464435292,63772.0,NaN
41,3908.51,691.0667715404011,3557.13,2256.1149885400678,139452.0,NaN
45,2268.32,1347.6105219194005,3070.71,1456.2333680153097,78540.0,NaN
51,2477.4,1655.862056910283,2753.2,231.0173809544,119665.0,NaN
57,3275.05,2744.105713924287,2626.44,478.7618357320635,70331.0,NaN
63,3208.38,1848.4901662019886,2605.43,995.1291805386854,86014.0,NaN
71,3532.42,631.8378544717264,3526.57,6757.55678048769,4.0281176E7,NaN
79,3616.08,443.29005667106316,2968.83,3129.762898222629,1.7758579E7,NaN
89,4037.45,921.0324397384194,4438.17,1669.4423375135866,1.1684449E7,NaN
101,7260.95,2155.2664199372407,3904.32,1255.8739070077975,1.2123697E7,NaN
113,9199.9,5039.558511407422,4504.17,765.81701344434,1.3419331E7,NaN
127,9185.23,3481.27497210636,3389.58,1919.8490322592208,1.632073E7,NaN
141,5386.96,3600.1228792721217,3508.41,864.7097614900399,134296.0,NaN
159,5869.53,3680.956631959094,3853.67,855.3315507551275,184634.0,NaN
179,8892.29,2133.8507483094045,3636.7,190.95456649330612,2.4880799E7,NaN
201,6688.1,20315.202936558024,3378.98,276.2032987171265,216343.0,NaN
225,12185.46,96267.66002902028,3700.02,717.0128547936876,38247.0,NaN
251,3778.15,1604.5999997167241,4495.47,537.4335280485459,5.1200098E7,NaN
283,3782.05,997.2866965173585,4827.04,1101.362268678516,6.2261917E7,NaN
317,4105.71,1456.5470049664611,5015.5,1638.337328519436,7.7567908E7,NaN
355,3687.44,1547.6056339984805,5711.32,228.8288090219058,344247.0,NaN
399,3033.79,2402.339151722544,6152.15,544.9759215327822,301210.0,NaN
447,3731.3,2130.9524664199844,6561.28,559.2854763360158,268858.0,NaN
501,4714.63,7173.1586067136905,5087.01,1331.2809620433206,321109.0,NaN
563,5779.5,1997.3477843673525,7223.01,204.66417405450855,2.43815303E8,NaN
631,6098.37,1521.964491117392,7992.94,1723.2815877583878,3.58330435E8,NaN
709,6584.47,1591.3672379308289,7136.13,5682.985405959041,4.39199339E8,NaN
795,3958.87,3545.286703668989,9201.68,1895.6597203489705,360833.0,NaN
891,4775.48,3587.5851518560767,10645.64,2214.2801713359845,363924.0,NaN
1001,6338.0,3552.654864444137,6839.85,1157.6268425384997,473919.0,NaN
1123,9262.13,1627.8546497482728,14206.6,2624.139712805558,1.274885296E9,NaN
